9
0.0	0.0	-10.0
9.59	-12.08	-13.30	30.28
9.61	-12.21	-12.04	32.02
9.63	-12.07	-10.75	33.03
9.65	-11.69	-9.26	33.64
9.67	-11.11	-7.77	33.78
9.69	-10.37	-6.40	33.51
9.71	-9.53	-5.24	32.88
9.73	-8.63	-4.29	31.98
9.76	-7.68	-3.58	30.82
9.78	-6.74	-3.12	29.45
9.81	-5.87	-2.93	27.93
9.84	-5.13	-2.98	26.30
9.87	-4.55	-3.30	24.51
9.90	-4.30	-3.73	23.13
9.93	-4.23	-4.34	21.78
9.96	-4.36	-5.11	20.64
9.99	-4.70	-6.05	19.74
10.02	-5.22	-7.18	19.13
10.06	-6.01	-8.64	18.92
10.10	-7.14	-10.48	19.36
10.13	-8.51	-12.41	20.73
10.16	-9.51	-13.56	22.23
10.19	-10.56	-14.44	24.31
10.21	-11.39	-14.77	26.44
10.23	-12.07	-14.55	28.70
10.25	-12.50	-13.71	30.87
10.28	-12.61	-12.32	32.68
10.30	-12.44	-10.89	33.74
10.31	-12.02	-9.27	34.36
10.33	-11.40	-7.66	34.50
10.35	-10.61	-6.19	34.21
10.37	-9.73	-4.93	33.56
10.39	-8.76	-3.90	32.61
10.41	-7.75	-3.12	31.40
10.44	-6.72	-2.60	29.98
10.46	-5.77	-2.35	28.39
10.49	-4.94	-2.34	26.71
10.52	-4.27	-2.58	24.91
10.55	-3.92	-2.91	23.52
10.58	-3.73	-3.40	22.08
10.61	-3.72	-4.02	20.79
10.63	-3.90	-4.76	19.69
10.66	-4.24	-5.66	18.79
10.69	-4.74	-6.75	18.16
10.73	-5.55	-8.27	17.83
10.77	-6.76	-10.29	18.19
10.80	-7.97	-12.10	19.21
10.83	-9.42	-13.93	21.20
10.86	-10.48	-14.95	23.19
10.88	-11.45	-15.51	25.51
10.90	-12.27	-15.49	28.06
10.92	-12.86	-14.76	30.60
10.95	-13.10	-13.35	32.82
10.96	-13.02	-11.84	34.16
10.98	-12.67	-10.06	35.06
11.00	-12.07	-8.22	35.42
11.02	-11.27	-6.50	35.26
11.04	-10.33	-4.99	34.68
11.06	-9.32	-3.77	33.79
11.08	-8.24	-2.81	32.61
11.10	-7.12	-2.11	31.19
11.12	-6.02	-1.70	29.59
11.15	-5.04	-1.55	27.88
11.17	-4.20	-1.64	26.09
11.20	-3.55	-1.93	24.19
11.23	-3.23	-2.24	22.85
11.25	-3.05	-2.65	21.51
11.28	-3.02	-3.14	20.29
11.31	-3.11	-3.70	19.19
11.33	-3.32	-4.38	18.23
11.36	-3.69	-5.24	17.37
11.39	-4.27	-6.43	16.68
11.43	-5.22	-8.19	16.33
11.46	-6.29	-10.02	16.60
11.50	-7.71	-12.25	17.71
11.53	-9.38	-14.49	19.92
11.55	-10.51	-15.70	22.00
11.57	-11.66	-16.51	24.64
11.60	-12.66	-16.65	27.64
11.62	-13.30	-16.12	30.17
11.63	-13.70	-14.92	32.63
11.65	-13.76	-13.14	34.64
11.67	-13.52	-11.31	35.84
11.69	-13.04	-9.34	36.51
11.70	-12.33	-7.41	36.65
11.72	-11.44	-5.64	36.32
11.74	-10.44	-4.12	35.62
11.75	-9.32	-2.83	34.59
11.77	-8.12	-1.82	33.28
11.79	-6.89	-1.10	31.73
11.81	-5.68	-0.67	30.01
11.84	-4.60	-0.52	28.23
11.86	-3.67	-0.58	26.40
11.89	-3.06	-0.74	24.91
11.91	-2.59	-0.98	23.41
11.94	-2.27	-1.26	22.02
11.96	-2.09	-1.57	20.72
11.98	-2.02	-1.92	19.51
12.01	-2.04	-2.31	18.40
12.03	-2.15	-2.76	17.38
12.06	-2.34	-3.31	16.42
12.08	-2.66	-4.03	15.50
12.12	-3.19	-5.11	14.63
12.16	-4.12	-6.86	13.98
12.19	-5.17	-8.78	13.95
12.22	-6.36	-10.84	14.50
12.25	-7.88	-13.27	15.89
12.28	-9.65	-15.75	18.41
12.30	-11.01	-17.27	21.00
12.32	-12.33	-18.25	24.18
12.34	-13.38	-18.44	27.36
12.36	-14.21	-17.83	30.66
12.38	-14.71	-16.34	33.74
12.40	-14.82	-14.42	35.95
12.41	-14.58	-12.08	37.55
12.43	-14.01	-9.55	38.42
12.44	-13.24	-7.32	38.60
12.46	-12.29	-5.26	38.28
12.47	-11.21	-3.49	37.55
12.49	-9.98	-1.96	36.46
12.51	-8.66	-0.74	35.09
12.52	-7.27	0.17	33.48
12.54	-5.87	0.76	31.70
12.57	-4.54	1.05	29.80
12.59	-3.36	1.11	27.90
12.61	-2.40	1.02	26.07
12.63	-1.76	0.88	24.58
12.66	-1.26	0.73	23.19
12.68	-0.89	0.59	21.89
12.70	-0.62	0.47	20.67
12.72	-0.44	0.39	19.64
12.74	-0.30	0.32	18.67
12.76	-0.20	0.27	17.75
12.77	-0.12	0.23	16.87
12.79	-0.06	0.21	16.04
12.81	-0.02	0.19	15.21
12.83	0.02	0.19	14.43
12.85	0.05	0.20	13.63
12.88	0.08	0.22	12.84
12.90	0.12	0.25	12.06
12.93	0.15	0.30	11.28
12.95	0.19	0.36	10.51
12.98	0.25	0.46	9.75
13.01	0.32	0.60	9.02
13.04	0.41	0.79	8.35
13.07	0.54	1.04	7.74
13.10	0.71	1.38	7.18
13.13	0.94	1.83	6.68
13.16	1.24	2.45	6.24
13.18	1.61	3.20	5.92
13.21	2.09	4.17	5.69
13.24	2.72	5.45	5.60
13.26	3.54	7.12	5.72
13.29	4.67	9.37	6.21
13.31	5.87	11.70	7.07
13.34	7.42	14.57	8.65
13.36	8.97	17.25	10.75
13.38	10.80	20.08	13.91
13.40	12.79	22.57	18.26
13.42	14.79	24.08	23.82
13.43	16.00	24.19	27.99
13.45	17.11	23.19	32.84
13.46	17.77	21.23	36.90
13.47	18.04	18.33	40.36
13.49	17.89	15.17	42.68
13.50	17.38	11.69	44.16
13.51	16.52	8.17	44.76
13.52	15.37	4.85	44.57
13.54	14.00	1.92	43.74
13.55	12.47	-0.52	42.46
13.56	10.87	-2.44	40.90
13.57	9.19	-3.93	39.14
13.59	7.02	-5.23	36.78
13.61	4.88	-5.96	34.41
13.63	2.89	-6.25	32.17
13.65	1.24	-6.26	30.26
13.67	-0.11	-6.16	28.63
13.69	-1.23	-6.04	27.17
13.71	-2.13	-5.97	25.92
13.73	-2.85	-5.98	24.82
13.75	-3.44	-6.10	23.87
13.77	-3.96	-6.32	23.05
13.79	-4.43	-6.65	22.35
13.81	-4.91	-7.10	21.77
13.84	-5.42	-7.70	21.34
13.86	-5.99	-8.44	21.08
13.89	-6.66	-9.35	21.08
13.91	-7.45	-10.40	21.44
13.94	-8.37	-11.54	22.31
13.98	-9.37	-12.55	23.74
14.00	-10.15	-13.09	25.27
14.03	-10.87	-13.25	27.11
14.05	-11.34	-12.95	28.80
14.08	-11.61	-12.22	30.36
14.10	-11.62	-11.11	31.62
14.12	-11.37	-9.76	32.44
14.14	-10.95	-8.51	32.75
14.16	-10.38	-7.30	32.69
14.18	-9.69	-6.22	32.30
14.21	-8.92	-5.29	31.61
14.23	-8.09	-4.56	30.66
14.25	-7.26	-4.06	29.49
14.28	-6.47	-3.80	28.14
14.31	-5.78	-3.79	26.67
14.34	-5.25	-4.05	25.08
14.37	-5.00	-4.44	23.86
14.40	-4.93	-5.04	22.64
14.43	-5.07	-5.80	21.62
14.47	-5.39	-6.72	20.86
14.50	-5.93	-7.86	20.41
14.54	-6.73	-9.27	20.40
14.57	-7.84	-10.95	21.12
14.60	-8.78	-12.14	22.23
14.63	-9.75	-13.11	23.84
14.66	-10.58	-13.62	25.63
14.68	-11.27	-13.65	27.64
14.71	-11.72	-13.19	29.45
14.73	-11.93	-12.28	31.07
14.75	-11.87	-10.99	32.32
14.77	-11.59	-9.67	33.01
14.79	-11.11	-8.29	33.28
14.81	-10.47	-6.99	33.16
14.83	-9.72	-5.85	32.69
14.85	-8.89	-4.89	31.93
14.88	-8.00	-4.14	30.90
14.90	-7.11	-3.63	29.65
14.93	-6.26	-3.37	28.23
14.96	-5.53	-3.36	26.68
14.99	-4.96	-3.62	25.01
15.02	-4.68	-3.99	23.73
15.05	-4.57	-4.56	22.44
15.08	-4.66	-5.27	21.35
15.11	-4.94	-6.14	20.47
15.14	-5.40	-7.18	19.88
15.17	-6.11	-8.53	19.62
15.21	-7.13	-10.20	19.96
15.25	-8.37	-11.95	21.13
15.27	-9.35	-13.07	22.53
15.30	-10.45	-13.98	24.68
15.32	-11.16	-14.24	26.50
15.35	-11.80	-14.02	28.62
15.37	-12.19	-13.22	30.64
15.40	-12.27	-11.90	32.32
15.41	-12.09	-10.56	33.26
15.43	-11.67	-9.05	33.80
15.45	-11.06	-7.56	33.89
15.47	-10.31	-6.21	33.56
15.49	-9.46	-5.07	32.91
15.51	-8.54	-4.14	31.97
15.54	-7.58	-3.44	30.77
15.56	-6.63	-3.00	29.37
15.59	-5.76	-2.82	27.83
15.62	-5.02	-2.90	26.18
15.65	-4.45	-3.23	24.37
15.68	-4.20	-3.67	22.97
15.71	-4.14	-4.28	21.64
15.74	-4.28	-5.04	20.51
15.77	-4.61	-5.96	19.61
15.80	-5.12	-7.07	19.00
15.84	-5.90	-8.52	18.74
15.88	-7.02	-10.37	19.14
15.91	-8.40	-12.34	20.46
15.94	-9.43	-13.55	21.96
15.97	-10.52	-14.51	24.07
15.99	-11.38	-14.89	26.21
16.01	-12.08	-14.72	28.51
16.03	-12.54	-13.93	30.74
16.06	-12.69	-12.56	32.63
16.07	-12.55	-11.12	33.76
16.09	-12.17	-9.52	34.44
16.11	-11.58	-7.92	34.66
16.13	-10.83	-6.42	34.44
16.15	-9.97	-5.12	33.86
16.17	-9.01	-4.03	32.97
16.19	-7.99	-3.18	31.81
16.21	-6.94	-2.58	30.41
16.24	-5.95	-2.26	28.84
16.26	-5.07	-2.20	27.17
16.29	-4.35	-2.37	25.39
16.32	-3.91	-2.68	23.89
16.35	-3.65	-3.14	22.37
16.38	-3.60	-3.72	21.01
16.41	-3.72	-4.43	19.83
16.44	-4.02	-5.28	18.85
16.47	-4.48	-6.32	18.11
16.50	-5.20	-7.71	17.65
16.54	-6.31	-9.63	17.75
16.57	-7.49	-11.49	18.54
16.61	-8.92	-13.44	20.24
16.63	-10.06	-14.70	22.17
16.65	-11.15	-15.52	24.54
16.68	-12.12	-15.73	27.26
16.70	-12.73	-15.33	29.56
16.72	-13.12	-14.31	31.81
16.74	-13.20	-12.75	33.68
16.76	-12.99	-11.09	34.82
16.77	-12.54	-9.29	35.47
16.79	-11.86	-7.52	35.60
16.81	-11.03	-5.89	35.29
16.83	-10.08	-4.51	34.61
16.85	-9.03	-3.35	33.62
16.87	-7.92	-2.44	32.35
16.89	-6.78	-1.82	30.85
16.91	-5.69	-1.48	29.19
16.94	-4.73	-1.40	27.46
16.96	-3.92	-1.53	25.64
16.99	-3.43	-1.76	24.18
17.02	-3.08	-2.11	22.67
17.04	-2.90	-2.53	21.28
17.07	-2.87	-3.02	20.02
17.10	-2.98	-3.61	18.88
17.12	-3.21	-4.30	17.89
17.15	-3.58	-5.17	17.03
17.18	-4.18	-6.38	16.33
17.22	-5.20	-8.26	15.99
17.25	-6.30	-10.14	16.30
17.29	-7.73	-12.40	17.45
17.32	-9.42	-14.67	19.71
17.34	-10.59	-15.93	21.86
17.37	-11.75	-16.76	24.58
17.39	-12.78	-16.90	27.66
17.41	-13.43	-16.36	30.25
17.42	-13.84	-15.13	32.77
17.44	-13.91	-13.30	34.83
17.46	-13.68	-11.43	36.07
17.48	-13.19	-9.42	36.77
17.49	-12.47	-7.44	36.93
17.51	-11.58	-5.62	36.61
17.52	-10.57	-4.05	35.91
17.54	-9.43	-2.73	34.87
17.56	-8.22	-1.68	33.56
17.58	-6.95	-0.93	32.00
17.60	-5.71	-0.47	30.27
17.63	-4.60	-0.30	28.48
17.65	-3.64	-0.33	26.66
17.67	-3.00	-0.47	25.17
17.70	-2.50	-0.69	23.69
17.72	-2.15	-0.94	22.30
17.74	-1.92	-1.21	21.00
17.77	-1.81	-1.51	19.79
17.79	-1.78	-1.84	18.67
17.81	-1.83	-2.20	17.62
17.84	-1.95	-2.63	16.66
17.86	-2.17	-3.17	15.71
17.89	-2.51	-3.92	14.78
17.92	-3.08	-5.05	13.92
17.96	-3.82	-6.47	13.38
17.99	-4.87	-8.39	13.27
18.02	-6.03	-10.43	13.71
18.05	-7.54	-12.92	14.98
18.08	-9.04	-15.17	16.92
18.10	-10.77	-17.31	19.96
18.13	-12.14	-18.50	23.10
18.14	-13.26	-18.93	26.29
18.16	-14.24	-18.53	29.88
18.18	-14.83	-17.38	32.91
18.20	-15.09	-15.51	35.56
18.21	-14.96	-13.06	37.56
18.23	-14.56	-10.78	38.61
18.24	-13.91	-8.46	39.08
18.26	-13.04	-6.24	39.01
18.27	-12.01	-4.26	38.48
18.29	-10.82	-2.52	37.55
18.30	-9.52	-1.08	36.31
18.32	-8.13	0.04	34.80
18.34	-6.69	0.84	33.09
18.36	-5.28	1.32	31.24
18.38	-3.85	1.53	29.17
18.40	-2.71	1.51	27.26
18.43	-1.78	1.38	25.40
18.45	-1.22	1.26	24.03
18.47	-0.75	1.14	22.68
18.49	-0.43	1.05	21.55
